https://github.com/Sveino/Inst4CIM-KG/issues/19	`valueType` shapes are complicated and incorrect
https://github.com/Sveino/Inst4CIM-KG/issues/20	replace `eumd:DateTimeStamp` with standard datatype, remove `eu:URI`
https://github.com/Sveino/Inst4CIM-KG/issues/21	HTML Tags and Escaped Entities in Definitions
https://github.com/Sveino/Inst4CIM-KG/issues/22	md:Statement is problematically defined
https://github.com/Sveino/Inst4CIM-KG/issues/23	`dcat:hasVersion` is defined inconsistently
https://github.com/Sveino/Inst4CIM-KG/issues/24	represent "deprecated" as owl:deprecated
https://github.com/Sveino/Inst4CIM-KG/issues/25	Header: `Resource1 ... Resource13`?
https://github.com/Sveino/Inst4CIM-KG/issues/26	replace `cims:inverseRoleName` by `owl:inverseOf`
https://github.com/Sveino/Inst4CIM-KG/issues/27	get rid of `profcim` Primitives
https://github.com/Sveino/Inst4CIM-KG/issues/28	define range of data props, use standard datatypes
https://github.com/Sveino/Inst4CIM-KG/issues/29	proposal to change representation of attributes and units
https://github.com/Sveino/Inst4CIM-KG/issues/3	Upload NC r2.3.1
https://github.com/Sveino/Inst4CIM-KG/issues/30	express single-value props as `owl:FunctionalProperty`
https://github.com/Sveino/Inst4CIM-KG/issues/31	change some langString to string
https://github.com/Sveino/Inst4CIM-KG/issues/32	fixes to `Ontology` metadata
https://github.com/Sveino/Inst4CIM-KG/issues/33	check ontology version URLs
https://github.com/Sveino/Inst4CIM-KG/issues/34	define prefixes `uml` and `xsd`
https://github.com/Sveino/Inst4CIM-KG/issues/35	publish ap-voc as ttl
https://github.com/Sveino/Inst4CIM-KG/issues/38	Datatypes and Units of Measure
https://github.com/Sveino/Inst4CIM-KG/issues/4	too many prefixes: remove per-profile prefixes
https://github.com/Sveino/Inst4CIM-KG/issues/40	Turtle: improve ordering of ontology terms
https://github.com/Sveino/Inst4CIM-KG/issues/41	upgrade from `RDFS2020` style to `RDFSEd2Beta` style
https://github.com/Sveino/Inst4CIM-KG/issues/42	how to map cim:RotationSpeed to QUDT
https://github.com/Sveino/Inst4CIM-KG/issues/43	CIM ApparentPower vs QUDT ComplexPower
https://github.com/Sveino/Inst4CIM-KG/issues/45	Fix Representation of NamedIndividuals
https://github.com/Sveino/Inst4CIM-KG/issues/46	fix representation of All QuantityKinds and Units
https://github.com/Sveino/Inst4CIM-KG/issues/47	remove spaces and lang tags from key values
https://github.com/Sveino/Inst4CIM-KG/issues/48	review issue labels (tags)
https://github.com/Sveino/Inst4CIM-KG/issues/49	Add Datatypes To Instance Data
https://github.com/Sveino/Inst4CIM-KG/issues/5	Duplication Between Ontologies
https://github.com/Sveino/Inst4CIM-KG/issues/50	define needed reasoning
https://github.com/Sveino/Inst4CIM-KG/issues/51	Update NC profiles release 2.3.1
https://github.com/Sveino/Inst4CIM-KG/issues/53	representing difference models
https://github.com/Sveino/Inst4CIM-KG/issues/54	migrate Vladimir's issues from `CIM4NoUtility`
https://github.com/Sveino/Inst4CIM-KG/issues/55	Representing datatypes in JSON-LD
https://github.com/Sveino/Inst4CIM-KG/issues/56	Design package URLs (namespaces)
https://github.com/Sveino/Inst4CIM-KG/issues/57	Keep ontology and profile URLs stable
https://github.com/Sveino/Inst4CIM-KG/issues/58	check out EDMC Tools for serialization, diff, hygiene checks, publication
https://github.com/Sveino/Inst4CIM-KG/issues/59	Establish ontology best practices and hygiene checks
https://github.com/Sveino/Inst4CIM-KG/issues/6	Whitespace in Definitions
https://github.com/Sveino/Inst4CIM-KG/issues/60	remove `AP` from `voc, con` file/folder names 
https://github.com/Sveino/Inst4CIM-KG/issues/61	replace cims:dataType with appropriate RDF/XSD datatypes
https://github.com/Sveino/Inst4CIM-KG/issues/62	add conversionFactor to cim:UnitMultiplier
https://github.com/Sveino/Inst4CIM-KG/issues/63	Naming of target files
https://github.com/Sveino/Inst4CIM-KG/issues/64	Upload latest files CGMES v3 from the Application library 
https://github.com/Sveino/Inst4CIM-KG/issues/67	How do you do OCL2SHACL?
https://github.com/Sveino/Inst4CIM-KG/issues/68	discrepancies in namespaces in RDFS2020 CGMES vs NC
https://github.com/Sveino/Inst4CIM-KG/issues/69	merge and fix DatasetMetadata, Header, FileHeader
https://github.com/Sveino/Inst4CIM-KG/issues/7	Wrong Declaration of Enumerations
https://github.com/Sveino/Inst4CIM-KG/issues/70	Express links to old ontology term URLs
https://github.com/Sveino/Inst4CIM-KG/issues/72	Datatype XMLLiteral in Definitions
