p1,r1,p2,r2
cim:ExcST6B.k1,xsd:boolean,cim:GovHydro3.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:GovHydroDD.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:GovSteam1.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:GovSteamFV3.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:GovSteamIEEE1.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:GovSteamSGO.k1,xsd:float
cim:ExcAC1A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcAC2A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcAC3A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcAC6A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcAC8B.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC1A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC2A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC3A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC6A.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC7B.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEAC8B.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcIEEEDC4B.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcOEX3T.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcREXS.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:ExcSK.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovGASTWD.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovHydroPID.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovHydroPID2.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovHydroWEH.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovHydroWPID.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:GovSteamBB.kd,xsd:float,cim:Pss1A.kd,xsd:boolean
cim:OverexcLimX2.m,xsd:boolean,cim:Pss2B.m,xsd:integer
cim:ExcST6B.k1,xsd:boolean,cim:Pss2ST.k1,xsd:float
cim:OverexcLimX2.m,xsd:boolean,cim:PssIEEE2B.m,xsd:integer
cim:OverexcLimX2.m,xsd:boolean,cim:PssPTIST1.m,xsd:float
cim:Pss2B.m,xsd:integer,cim:PssPTIST1.m,xsd:float
cim:PssIEEE2B.m,xsd:integer,cim:PssPTIST1.m,xsd:float
cim:OverexcLimX2.m,xsd:boolean,cim:PssPTIST3.m,xsd:float
cim:Pss2B.m,xsd:integer,cim:PssPTIST3.m,xsd:float
cim:PssIEEE2B.m,xsd:integer,cim:PssPTIST3.m,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:PssSH.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:PssSK.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:PssWECC.k1,xsd:float
cim:ExcST6B.k1,xsd:boolean,cim:UnderexcLimIEEE2.k1,xsd:float
cim:Command.normalValue,xsd:integer,cim:CurrentLimit.normalValue,xsd:float
cim:TapChanger.step,xsd:float,cim:TapChangerTablePoint.step,xsd:integer
cim:Command.normalValue,xsd:integer,cim:VoltageLimit.normalValue,xsd:float
cim:AccumulatorLimit.value,xsd:integer,cim:Status.value,xsd:string
cim:AnalogLimit.value,xsd:float,cim:Status.value,xsd:string
cim:Command.value,xsd:integer,cim:Status.value,xsd:string
cim:SetPoint.value,xsd:float,cim:Status.value,xsd:string
cim:ActivePowerLimit.value,xsd:float,cim:Status.value,xsd:string
cim:ApparentPowerLimit.value,xsd:float,cim:Status.value,xsd:string
cim:CurrentLimit.value,xsd:float,cim:Status.value,xsd:string
cim:AccumulatorLimit.value,xsd:integer,cim:AnalogLimit.value,xsd:float
cim:ActivePowerLimit.normalValue,xsd:float,cim:Command.normalValue,xsd:integer
cim:ApparentPowerLimit.normalValue,xsd:float,cim:Command.normalValue,xsd:integer
cim:AnalogLimit.value,xsd:float,cim:Command.value,xsd:integer
cim:ActivePowerLimit.value,xsd:float,cim:Command.value,xsd:integer
cim:ApparentPowerLimit.value,xsd:float,cim:Command.value,xsd:integer
cim:Command.normalValue,xsd:integer,cim:SetPoint.normalValue,xsd:float
cim:AccumulatorLimit.value,xsd:integer,cim:SetPoint.value,xsd:float
cim:Command.value,xsd:integer,cim:SetPoint.value,xsd:float
cim:Status.value,xsd:string,cim:ValueToAlias.value,xsd:integer
cim:AnalogLimit.value,xsd:float,cim:ValueToAlias.value,xsd:integer
cim:SetPoint.value,xsd:float,cim:ValueToAlias.value,xsd:integer
cim:ActivePowerLimit.value,xsd:float,cim:ValueToAlias.value,xsd:integer
cim:ApparentPowerLimit.value,xsd:float,cim:ValueToAlias.value,xsd:integer
cim:CurrentLimit.value,xsd:float,cim:ValueToAlias.value,xsd:integer
cim:AccumulatorLimit.value,xsd:integer,cim:ActivePowerLimit.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,cim:ApparentPowerLimit.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,cim:CurrentLimit.value,xsd:float
cim:Command.value,xsd:integer,cim:CurrentLimit.value,xsd:float
cim:Status.value,xsd:string,cim:VoltageLimit.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,cim:VoltageLimit.value,xsd:float
cim:Command.value,xsd:integer,cim:VoltageLimit.value,xsd:float
cim:ValueToAlias.value,xsd:integer,cim:VoltageLimit.value,xsd:float
dct:Resource.publisher,xsd:string,dcat:Dataset.publisher,dcat:Dataset
cim:ExcIEEEDC1A.uelin,xsd:boolean,cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind
cim:ExcIEEEDC2A.uelin,xsd:boolean,cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind
cim:ExcIEEEDC4B.uelin,xsd:boolean,cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind
cim:ExcIEEEDC4B.oelin,xsd:boolean,cim:ExcIEEEST6B.oelin,cim:ExcST6BOELselectorKind
cim:ExcIEEEDC4B.oelin,xsd:boolean,cim:ExcIEEEST7B.oelin,cim:ExcST7BOELselectorKind
cim:ExcIEEEDC1A.uelin,xsd:boolean,cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEDC2A.uelin,xsd:boolean,cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEDC4B.uelin,xsd:boolean,cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEST2A.uelin,xsd:boolean,cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEDC4B.oelin,xsd:boolean,cim:ExcST6B.oelin,cim:ExcST6BOELselectorKind
cim:ExcIEEEDC4B.oelin,xsd:boolean,cim:ExcST7B.oelin,cim:ExcST7BOELselectorKind
cim:ExcIEEEDC1A.uelin,xsd:boolean,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEDC2A.uelin,xsd:boolean,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEDC4B.uelin,xsd:boolean,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEST2A.uelin,xsd:boolean,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcST2A.uelin,xsd:boolean,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:GovHydro3.governorControl,xsd:boolean,cim:GovHydroFrancis.governorControl,cim:FrancisGovernorControlKind
cim:StreetDetail.type,xsd:string,cim:SynchronousMachine.type,cim:SynchronousMachineKind
cim:ControlArea.type,cim:ControlAreaTypeKind,nc:AutomationFunction.type,xsd:string
cim:SynchronousMachine.type,cim:SynchronousMachineKind,nc:AutomationFunction.type,xsd:string
cim:ControlArea.type,cim:ControlAreaTypeKind,nc:ObjectType.type,xsd:string
cim:SynchronousMachine.type,cim:SynchronousMachineKind,nc:ObjectType.type,xsd:string
cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind,cim:ExcIEEEST2A.uelin,xsd:boolean
cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind,cim:ExcST2A.uelin,xsd:boolean
cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind,cim:ExcST2A.uelin,xsd:boolean
cim:ExcREXS.fbf,cim:ExcREXSFeedbackSignalKind,cim:TurbLCFB1.fbf,xsd:boolean
cim:ControlArea.type,cim:ControlAreaTypeKind,cim:StreetDetail.type,xsd:string
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind
nc:AssessedElementWithRemedialAction.RemedialAction,nc:RemedialAction,nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:ExceptionalContingency.kind,nc:ContingencyConditionKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:ExceptionalContingency.kind,nc:ContingencyConditionKind
nc:EnergyType.kind,nc:EnergyKind,nc:ExceptionalContingency.kind,nc:ContingencyConditionKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:ExceptionalContingency.kind,nc:ContingencyConditionKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:ExceptionalContingency.kind,nc:ContingencyConditionKind
cim:AuxiliaryEquipment.Terminal,cim:Terminal,cim:OperationalLimitSet.Terminal,cim:ACDCTerminal
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:EnergyType.kind,nc:EnergyKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:EnergyType.kind,nc:EnergyKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:EnergyType.kind,nc:EnergyKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:EnergyType.kind,nc:EnergyKind
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,nc:FrequencyMonitoringTerminal.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,nc:FrequencyMonitoringTerminal.Terminal,cim:Terminal
