p1,r1,p2,r2
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:Gate.kind,nc:GateLogicKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:Gate.kind,nc:GateLogicKind
nc:EnergyType.kind,nc:EnergyKind,nc:Gate.kind,nc:GateLogicKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:Gate.kind,nc:GateLogicKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:Gate.kind,nc:GateLogicKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:EnergyType.kind,nc:EnergyKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:MeasurementCalculator.kind,nc:CalculationKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:Gate.kind,nc:GateLogicKind,nc:MeasurementCalculator.kind,nc:CalculationKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:MeasurementCalculator.kind,nc:CalculationKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:EnergyType.kind,nc:EnergyKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:Gate.kind,nc:GateLogicKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PinDCTerminal.kind,nc:PinDCTerminalKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:EnergyType.kind,nc:EnergyKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:Gate.kind,nc:GateLogicKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind
cim:OperationalLimitType.direction,cim:OperationalLimitDirectionKind,nc:RangeConstraint.direction,nc:RelativeDirectionKind
nc:PowerBidSchedule.direction,nc:BidDirectionKind,nc:RangeConstraint.direction,nc:RelativeDirectionKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:Region.RemedialAction,nc:RemedialAction
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionDependency.RemedialAction,nc:RemedialAction
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:SystemOperator.RemedialAction,nc:RemedialAction
nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency,nc:SystemOperator.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialAction.kind,nc:RemedialActionKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialAction.kind,nc:RemedialActionKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialAction.kind,nc:RemedialActionKind
nc:AssessedElementWithRemedialAction.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:ContingencyWithRemedialAction.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:Region.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:RemedialActionDependency.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:RemedialActionApplied.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:ControllableQuantity.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:GenericAvailableSchedule.RemedialAction,nc:RemedialAction,nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialActionImpact.kind,nc:ImpactAgreementKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionSchedule.RemedialAction,nc:RemedialAction
nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency,nc:RemedialActionSchedule.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionCost.kind,nc:CostSettledKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionCost.kind,nc:CostSettledKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionCost.kind,nc:CostSettledKind
nc:ProposingRemedialActionScheduleShare.ProposingEntity,nc:SystemOperator,nc:RemedialActionSchedule.ProposingEntity,nc:SecurityCoordinator
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:RemedialActionImpact.kind,nc:ImpactAgreementKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:RemedialActionImpact.kind,nc:ImpactAgreementKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionApplied.RemedialAction,nc:RemedialAction
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:ControllableQuantity.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:EnergyType.kind,nc:EnergyKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionImpact.kind,nc:ImpactAgreementKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:Gate.kind,nc:GateLogicKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionScheme.kind,nc:RemedialActionSchemeKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionScheduleAcceptance.kind,nc:RemedialActionScheduleAcceptanceKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:RemedialActionScheduleDependency.kind,nc:RemedialActionScheduleDependencyKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:SensitivityMatrix.kind,nc:SensitivityMatrixKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:GenericAvailableSchedule.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:EnergyType.kind,nc:EnergyKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:Gate.kind,nc:GateLogicKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PowerBidDependency.kind,nc:PowerBidDependencyKind
cim:OperationalLimitType.direction,cim:OperationalLimitDirectionKind,nc:PowerBidSchedule.direction,nc:BidDirectionKind
cim:SynchronousMachine.operatingMode,cim:SynchronousMachineOperatingMode,nc:CsConverterRegularSchedule.operatingMode,cim:CsOperatingModeKind
cim:VsConverter.pPccControl,cim:VsPpccControlKind,nc:CsConverterRegularSchedule.pPccControl,cim:CsPpccControlKind
nc:CsConverter.CsConverterSchedule,nc:CsConverterRegularSchedule,nc:CsConverterTimePoint.CsConverterSchedule,nc:CsConverterSchedule
cim:SynchronousMachine.operatingMode,cim:SynchronousMachineOperatingMode,nc:CsConverterTimePoint.operatingMode,cim:CsOperatingModeKind
cim:VsConverter.pPccControl,cim:VsPpccControlKind,nc:CsConverterTimePoint.pPccControl,cim:CsPpccControlKind
nc:EnergyConnection.EnergyConnectionSchedule,nc:EnergyConnectionRegularSchedule,nc:EnergyConnectionTimePoint.EnergyConnectionSchedule,nc:EnergyConnectionSchedule
nc:CsConverterRegularSchedule.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineRegularSchedule.operatingMode,cim:SynchronousMachineOperatingMode
nc:CsConverterTimePoint.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineRegularSchedule.operatingMode,cim:SynchronousMachineOperatingMode
cim:CsConverter.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineRegularSchedule.operatingMode,cim:SynchronousMachineOperatingMode
nc:CsConverterRegularSchedule.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineTimePoint.operatingMode,cim:SynchronousMachineOperatingMode
nc:CsConverterTimePoint.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineTimePoint.operatingMode,cim:SynchronousMachineOperatingMode
cim:CsConverter.operatingMode,cim:CsOperatingModeKind,nc:SynchronousMachineTimePoint.operatingMode,cim:SynchronousMachineOperatingMode
nc:CsConverterRegularSchedule.pPccControl,cim:CsPpccControlKind,nc:VsConverterRegularSchedule.pPccControl,cim:VsPpccControlKind
nc:CsConverterTimePoint.pPccControl,cim:CsPpccControlKind,nc:VsConverterRegularSchedule.pPccControl,cim:VsPpccControlKind
cim:CsConverter.pPccControl,cim:CsPpccControlKind,nc:VsConverterRegularSchedule.pPccControl,cim:VsPpccControlKind
nc:CsConverterRegularSchedule.pPccControl,cim:CsPpccControlKind,nc:VsConverterTimePoint.pPccControl,cim:VsPpccControlKind
nc:CsConverterTimePoint.pPccControl,cim:CsPpccControlKind,nc:VsConverterTimePoint.pPccControl,cim:VsPpccControlKind
cim:CsConverter.pPccControl,cim:CsPpccControlKind,nc:VsConverterTimePoint.pPccControl,cim:VsPpccControlKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:CompensatorController.mode,nc:CompensatorControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:CompensatorController.mode,nc:CompensatorControlModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:InjectionController.mode,nc:InjectionControlModeKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:InjectionController.mode,nc:InjectionControlModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:InjectionController.mode,nc:InjectionControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:InjectionController.mode,nc:InjectionControlModeKind
