q,p1,r1,p2,r2
"cims:stereotype","nc:PowerShiftKeyStrategy.normalEnabled","""NC""","nc:PowerTransferCorridor.normalEnabled","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.normalEnabled","""NC""","nc:PowerTransferCorridor.normalEnabled","uml:attribute"
"cims:stereotype","nc:GridStateAlteration.normalEnabled","""NC""","nc:PowerTransferCorridor.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElement.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:AutomationFunction.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:FunctionBlock.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:PowerShiftKeyStrategy.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"cims:stereotype","nc:GridStateAlteration.normalEnabled","uml:attribute","nc:PowerTransferCorridor.normalEnabled","""NC"""
"rdfs:comment","nc:DCPole.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"rdfs:comment","nc:EnergyConsumer.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"rdfs:comment","nc:EnergyGroup.normalParticipationFactor","""Normal participation factor for the power group in relation to scheduling area. Must be a positive value.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"rdfs:comment","nc:HydroPump.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"rdfs:comment","nc:PowerElectronicsUnit.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"rdfs:comment","nc:PowerShiftKeyStrategy.normalParticipationFactor","""Normal participation factor describing the entities part of the power shift strategy. Must be a positive value.""","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor."""
"cims:stereotype","nc:DCPole.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyBlockOrder.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyConsumer.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyGroup.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:HydroPump.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:PowerElectronicsUnit.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:PowerShiftKeyStrategy.normalParticipationFactor","""NC""","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:DCPole.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyBlockOrder.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyConsumer.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyGroup.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:HydroPump.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:PowerElectronicsUnit.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:stereotype","nc:PowerShiftKeyStrategy.normalParticipationFactor","uml:attribute","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC"""
"cims:multiplicity","nc:EnergyGroup.normalParticipationFactor","cims:M:1..1","nc:ProportionalEnergyComponent.normalParticipationFactor","cims:M:0..1"
"cims:stereotype","nc:EnergyBlockOrder.powerDuration","""NC""","nc:ProportionalEnergyComponent.powerDuration","uml:attribute"
"cims:stereotype","nc:EnergyGroup.powerDuration","""NC""","nc:ProportionalEnergyComponent.powerDuration","uml:attribute"
"cims:stereotype","nc:EnergyBlockOrder.powerDuration","uml:attribute","nc:ProportionalEnergyComponent.powerDuration","""NC"""
"cims:stereotype","nc:EnergyGroup.powerDuration","uml:attribute","nc:ProportionalEnergyComponent.powerDuration","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:OutcomeValue.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionImpact.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:NamingAuthority.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionDependency.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionCost.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionScheduleAcceptance.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionScheduleDependency.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionApplied.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","nc:PowerBidDependency.mRID","""NC""","nc:SSSCSimulationSettings.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:OutcomeValue.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionImpact.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:NamingAuthority.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionDependency.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionCost.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionScheduleAcceptance.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionScheduleDependency.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:RemedialActionApplied.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:stereotype","nc:PowerBidDependency.mRID","uml:attribute","nc:SSSCSimulationSettings.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:SSSCSimulationSettings.mRID","cims:M:1..1"
"cims:multiplicity","nc:ProposingRemedialActionScheduleShare.mRID","cims:M:0..1","nc:SSSCSimulationSettings.mRID","cims:M:1..1"
"rdfs:comment","nc:EnergyBlockOrder.normalParticipationFactor","""Normal participation factor.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:EnergyConsumer.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:EnergyGroup.normalParticipationFactor","""Normal participation factor for the power group in relation to scheduling area. Must be a positive value.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:HydroPump.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:PowerElectronicsUnit.normalParticipationFactor","""Participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:PowerShiftKeyStrategy.normalParticipationFactor","""Normal participation factor describing the entities part of the power shift strategy. Must be a positive value.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"rdfs:comment","nc:ProportionalEnergyComponent.normalParticipationFactor","""Normal participation factor.""","nc:SchedulingArea.normalParticipationFactor","""Normal participation factor describing the entity part of the active power provided by a collection of entities (e.g. an active power forecast to a collection of entities is divided to each of the member entity according to the participation factor). Must be a positive value. In the case of a sharing strategy, the distribution is following entities value (V) equals aggregated value (T) divided by sum of participation factors (PF), i.e. V=T/ sum(PF). In the case of priority strategy, the item with the lowest number gets allocated energy first."""
"cims:stereotype","nc:DCPole.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyBlockOrder.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyConsumer.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:EnergyGroup.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:HydroPump.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:PowerElectronicsUnit.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:PowerShiftKeyStrategy.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:ProportionalEnergyComponent.normalParticipationFactor","""NC""","nc:SchedulingArea.normalParticipationFactor","uml:attribute"
"cims:stereotype","nc:DCPole.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyBlockOrder.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyConsumer.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:EnergyGroup.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:HydroPump.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:PowerElectronicsUnit.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:PowerShiftKeyStrategy.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:stereotype","nc:ProportionalEnergyComponent.normalParticipationFactor","uml:attribute","nc:SchedulingArea.normalParticipationFactor","""NC"""
"cims:multiplicity","nc:EnergyGroup.normalParticipationFactor","cims:M:1..1","nc:SchedulingArea.normalParticipationFactor","cims:M:0..1"
"rdfs:comment","cim:AsynchronousMachine.nominalFrequency","""Nameplate data indicates if the machine is 50 Hz or 60 Hz.""","nc:SynchronousArea.nominalFrequency","""The nominal frequency for the Synchronous Area, e.g. 50 Hz for Europe."""
"cims:stereotype","cim:AsynchronousMachine.nominalFrequency","uml:attribute","nc:SynchronousArea.nominalFrequency","""NC"""
"cims:multiplicity","cim:AsynchronousMachine.nominalFrequency","cims:M:0..1","nc:SynchronousArea.nominalFrequency","cims:M:1..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:SSSCSimulationSettings.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:OutcomeValue.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionImpact.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:NamingAuthority.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionDependency.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionCost.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionScheduleAcceptance.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionScheduleDependency.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionApplied.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","nc:PowerBidDependency.mRID","""NC""","nc:TCSCCompensationPoint.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:SSSCSimulationSettings.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:OutcomeValue.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionImpact.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:NamingAuthority.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionDependency.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionCost.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionScheduleAcceptance.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionScheduleDependency.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:RemedialActionApplied.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:stereotype","nc:PowerBidDependency.mRID","uml:attribute","nc:TCSCCompensationPoint.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:TCSCCompensationPoint.mRID","cims:M:1..1"
"cims:multiplicity","nc:ProposingRemedialActionScheduleShare.mRID","cims:M:0..1","nc:TCSCCompensationPoint.mRID","cims:M:1..1"
"rdfs:range","cim:TownDetail.section","xsd:string","nc:TCSCCompensationPoint.section","xsd:integer"
"rdfs:comment","cim:TownDetail.section","""Town section. For example, it is common for there to be 36 sections per township.""","nc:TCSCCompensationPoint.section","""The number of the section."""
"cims:stereotype","cim:TownDetail.section","uml:attribute","nc:TCSCCompensationPoint.section","""NC"""
"cims:multiplicity","cim:TownDetail.section","cims:M:0..1","nc:TCSCCompensationPoint.section","cims:M:1..1"
"rdfs:range","cim:Command.normalValue","xsd:integer","nc:VoltageAngleLimit.normalValue","xsd:float"
"rdfs:comment","nc:RangeConstraint.normalValue","""The normal (initial) value. The meaning of the value is defined by the attribute referenced by the PropertyReference. The value can be integer, float or boolean. In case of boolean 1 equals true and 0 equals false. If the valueKind is incremental or incrementalPercentage, then the value shall be positive (greater than zero). If the valueKind is incrementalPercentage, then the value shall be in the range [0, 100].""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"rdfs:comment","cim:ActivePowerLimit.normalValue","""The normal value of active power limit. The attribute shall be a positive value or zero.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"rdfs:comment","cim:ApparentPowerLimit.normalValue","""The normal apparent power limit. The attribute shall be a positive value or zero.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"rdfs:comment","cim:CurrentLimit.normalValue","""The normal value for limit on current flow. The attribute shall be a positive value or zero.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"rdfs:comment","cim:VoltageLimit.normalValue","""The normal limit on voltage. High or low limit nature of the limit depends upon the properties of the operational limit type. The attribute shall be a positive value or zero.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
