?prop	?dt
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.fromEndName>	<http://www.w3.org/2001/XMLSchema#string>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.fromEndNameTso>	<http://www.w3.org/2001/XMLSchema#string>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.isDirectCurrent>	<http://www.w3.org/2001/XMLSchema#boolean>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.isExcludedFromAreaInterchange>	<http://www.w3.org/2001/XMLSchema#boolean>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.toEndIsoCode>	<http://www.w3.org/2001/XMLSchema#string>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.toEndName>	<http://www.w3.org/2001/XMLSchema#string>
<https://cim.ucaiug.io/ns/eu#BoundaryPoint.toEndNameTso>	<http://www.w3.org/2001/XMLSchema#string>
<https://cim4.eu/ns/nc#Contingency.probability>	<http://www.w3.org/2001/XMLSchema#float>
<https://cim4.eu/ns/nc#GridStateAlteration.enabled>	<http://www.w3.org/2001/XMLSchema#boolean>
<https://cim4.eu/ns/nc#GridStateAlteration.participationFactor>	<http://www.w3.org/2001/XMLSchema#float>
<https://cim4.eu/ns/nc#RangeConstraint.value>	<http://www.w3.org/2001/XMLSchema#float>
